incremental-cost,incremental-dalys,moderate_case_dw_sample,severe_case_dw_sample
570723894.0738595,1942.2952054526113,0.04542243905523369,0.11549810362916015
584648298.9684862,3531.3893858532906,0.044600300041795,0.1975905245714079
543518360.1866287,2312.385402236265,0.06095905824199629,0.13826439534730145
561211906.8887463,1551.8009168284925,0.04895262899162206,0.13039454303652068
300227993.8245673,326.23592448923137,0.052989826481684536,0.10345219074260803
445721314.15916,1538.6130017005248,0.042762104508782324,0.11605461352921197
475492030.7960037,1708.9261556081424,0.05683455144637381,0.09586580889253529
335780091.59113646,435.695084618264,0.05782494899497937,0.14597092674745676
555576819.0738798,1299.014925488947,0.03860752145066359,0.09554076729933704
594970954.3760587,1795.3536227909235,0.055801357345698174,0.14853870712314976
496476470.34688985,1585.6384694516341,0.04589056639541341,0.13072635485477713
531202993.8582499,1653.2222964375983,0.04383074232797307,0.1264048962294681
564984868.7774293,2032.8559457840342,0.05633337400326909,0.10243343072188375
489614068.58266884,1132.5312574028562,0.0544123633645885,0.13919771930069957
622585129.0417597,1953.8453581234444,0.05039489466869909,0.0981005037948257
413484380.0972619,965.5831103563187,0.0456713487784323,0.11626158812552799
601580223.3150797,2960.8097128141235,0.05199397662095518,0.12251184009970305
572067300.8155884,2495.3915944132223,0.03183551903155229,0.12472804385130105
569092599.356225,1857.6647875728854,0.06196515414945568,0.12147976615741428
551121007.0309477,1890.8714792271903,0.04813435015279066,0.11614467534565212
531255854.20187736,2841.628749379931,0.04250449301686586,0.10621652592327303
465827355.43001926,1659.3941948318775,0.04048695425916039,0.120635444604947
256324808.27163145,213.40795583149975,0.05315027028624442,0.10410977966969422
538536835.7463257,1964.5700505091554,0.048848364390862965,0.13812323576523328
491560758.0619246,1164.9901984969847,0.05911607323932272,0.13183610742966273
616696703.8441129,3159.948474149193,0.03835604483904904,0.12316944853588037
359555552.32176024,941.6398946345371,0.06291291051520706,0.12612293112416725
482966092.0120903,1023.9341732746616,0.03196909943915653,0.1181119592215051
614610406.6393995,1618.5399624323322,0.03848815241015497,0.15300878796216583
612485408.5063844,2277.2432242064006,0.058907344388584706,0.14818825056502327
556072039.4786836,2032.9375088168958,0.05284427877198835,0.15312422853272445
369001526.342157,1203.0790030359985,0.05610441508313763,0.12200305783900214
575739558.8139293,2270.458372382309,0.067316274008342,0.13187665739824236
585778895.8458731,2593.375476879183,0.0594912437571637,0.09434103786006628
570079820.0351318,2274.816876060486,0.04074292117778954,0.1243360446470667
579899233.9652689,2032.9515031771832,0.060749167672364685,0.11376741073800986
316745240.19339585,765.3528589945399,0.06707340053380242,0.11694098763335717
612623208.8692741,2237.660089838762,0.05466960261525372,0.15896717000259816
601990171.8887801,3100.6725161354743,0.05626431100088865,0.14177781483382038
599999129.8894235,3582.69729102856,0.03158540063181204,0.11623129080944032
563013279.4913149,1860.3771188815167,0.038658522841815736,0.1880943250565504
384739087.5384119,1552.1131229203365,0.04984110093187046,0.09777260165977167
550522789.1275921,1976.248531175719,0.0582533272348749,0.17039974615400247
618105478.7581348,1512.4121042963534,0.05510226685640069,0.12059696187890981
586923982.2112687,1939.3372600824323,0.03468067268198302,0.16543105304704317
587017384.6613244,2791.0020329264235,0.03474392395890666,0.14119433803045173
613210001.774465,2303.6854909040712,0.04093863190906963,0.1318819866070604
351301808.3328631,852.6565893049838,0.06663028206351401,0.16399376878755262
594258438.5638138,2947.411190673177,0.062189278120470905,0.10714961818133885
411293193.52574944,1202.250727465937,0.061495968576743255,0.16156736461292892
551542005.1212801,2462.8608922303865,0.04737422551774354,0.13884695028261415
570885713.5336428,1692.4938511458463,0.0613783511683991,0.11354170349083355
614274364.1138426,4171.420234166371,0.033679361047936805,0.09697760422122184
554646477.9348919,1823.398307016565,0.048620050252520725,0.13232710255693111
550567867.0676622,2089.191290325065,0.0490433900895633,0.10375120699645606
582330017.4883177,1423.0449361021374,0.03904225766638924,0.12906467260374566
578286072.6617128,1455.5759757231608,0.04328283816496514,0.1810746356769203
576748300.2340343,2446.5659503618144,0.03376639608107623,0.1427406806998814
539722903.4329687,2652.1996462356965,0.03455481720825374,0.1377511352831815
620564031.7982612,2271.4048319908197,0.05931388479300066,0.15908696741155184
479027985.3736055,1625.9140096572141,0.036933105138777865,0.17388707161740583
586898073.4131042,2564.900168953279,0.040945705122080796,0.10601711369477883
452318361.46277887,941.9475651953858,0.05072345288641331,0.1545456093517974
430476631.7862497,1540.7560024157947,0.046225535229112845,0.12980620908415455
487417109.20278776,1951.4679761000816,0.04139735632341903,0.1233242645272871
617362563.467992,3013.2848198173847,0.047746500216535405,0.11740901065203795
609655080.768003,2096.5686940461082,0.04375144976807402,0.12057935008068572
613620061.7121743,2983.6894688166603,0.048676408165853134,0.09167312093018892
605054886.1014992,1866.9355061954225,0.04738106227721128,0.18593377458128876
604431748.798455,2043.96266798523,0.04048523425498502,0.10720490283180711
